date,close,high,low,open
2015-04-13 00:00:00+00:00,209.09,210.63,209.03,209.87
2015-04-14 00:00:00+00:00,209.49,209.71,208.1,208.85
2015-04-15 00:00:00+00:00,210.43,211.04,209.95,210.05
2015-04-16 00:00:00+00:00,210.37,210.98,209.79,210.03
2015-04-17 00:00:00+00:00,207.95,209.23,207.01,208.94
2015-04-20 00:00:00+00:00,209.85,210.25,208.96,209.06
2015-04-21 00:00:00+00:00,209.6,210.86,209.24,210.67
2015-04-22 00:00:00+00:00,210.63,210.85,208.9,210.01
2015-04-23 00:00:00+00:00,211.16,211.94,210.01,210.15
2015-04-24 00:00:00+00:00,211.65,211.97,211.11,211.66
2015-04-27 00:00:00+00:00,210.77,212.48,210.54,212.33
2015-04-28 00:00:00+00:00,211.44,211.5,209.33,210.74
2015-04-29 00:00:00+00:00,210.57,211.44,209.6,211.44
2015-04-30 00:00:00+00:00,208.46,210.35,207.62,209.88
2015-05-01 00:00:00+00:00,210.72,210.77,209.28,209.4
2015-05-04 00:00:00+00:00,211.32,212.02,211.1,211.23
2015-05-05 00:00:00+00:00,208.9,211.46,208.73,211.03
2015-05-06 00:00:00+00:00,208.04,209.93,206.76,209.56
2015-05-07 00:00:00+00:00,208.87,209.38,207.52,207.92
2015-05-08 00:00:00+00:00,211.62,211.86,210.78,210.88
2015-05-11 00:00:00+00:00,210.61,211.89,210.52,211.57
2015-05-12 00:00:00+00:00,209.98,210.63,208.62,209.61
2015-05-13 00:00:00+00:00,210.02,211.22,209.74,210.47
2015-05-14 00:00:00+00:00,212.21,212.32,210.91,211.24
2015-05-15 00:00:00+00:00,212.44,212.61,211.86,212.44
2015-05-18 00:00:00+00:00,213.1,213.4,212.16,212.24
2015-05-19 00:00:00+00:00,213.03,213.57,212.69,213.24
2015-05-20 00:00:00+00:00,212.88,213.78,212.5,213.15
2015-05-21 00:00:00+00:00,213.5,213.75,212.51,212.71
2015-05-22 00:00:00+00:00,212.99,213.54,212.91,213.04
2015-05-26 00:00:00+00:00,210.7,212.91,210.2,212.4
2015-05-27 00:00:00+00:00,212.7,212.98,210.76,211.25
2015-05-28 00:00:00+00:00,212.46,212.59,211.63,212.33
2015-05-29 00:00:00+00:00,211.14,212.43,210.82,212.38
2015-06-01 00:00:00+00:00,211.57,212.34,210.62,211.94
2015-06-02 00:00:00+00:00,211.36,212.19,210.27,211.02
2015-06-03 00:00:00+00:00,211.92,212.67,211.33,212.0
2015-06-04 00:00:00+00:00,210.13,211.86,209.75,211.07
2015-06-05 00:00:00+00:00,209.77,210.58,208.98,209.95
2015-06-08 00:00:00+00:00,208.42,209.82,208.39,209.64
2015-06-09 00:00:00+00:00,208.45,209.1,207.69,208.45
2015-06-10 00:00:00+00:00,210.96,211.41,209.3,209.37
2015-06-11 00:00:00+00:00,211.65,212.09,211.2,211.48
2015-06-12 00:00:00+00:00,209.93,211.48,209.68,210.64
2015-06-15 00:00:00+00:00,209.1,209.45,207.79,208.64
2015-06-16 00:00:00+00:00,210.25,210.35,208.72,208.93
2015-06-17 00:00:00+00:00,210.59,211.32,209.36,210.59
2015-06-18 00:00:00+00:00,212.71,213.34,210.63,211.31
2015-06-19 00:00:00+00:00,210.81,211.55,210.36,211.46
2015-06-22 00:00:00+00:00,211.89,212.59,211.64,211.91
2015-06-23 00:00:00+00:00,212.05,212.44,211.57,212.14
2015-06-24 00:00:00+00:00,210.51,212.17,210.47,211.72
2015-06-25 00:00:00+00:00,209.83,211.25,209.77,211.1
2015-06-26 00:00:00+00:00,209.9,210.58,209.16,210.29
2015-06-29 00:00:00+00:00,205.47,209.83,205.33,208.05
2015-06-30 00:00:00+00:00,205.89,207.32,205.28,207.26
2015-07-01 00:00:00+00:00,207.57,208.03,206.56,207.73
2015-07-02 00:00:00+00:00,207.32,208.27,206.81,208.07
2015-07-06 00:00:00+00:00,206.67,207.65,205.53,205.77
2015-07-07 00:00:00+00:00,208.01,208.17,204.11,206.96
2015-07-08 00:00:00+00:00,204.53,206.76,204.25,206.42
2015-07-09 00:00:00+00:00,204.8,207.35,204.77,207.04
2015-07-10 00:00:00+00:00,207.48,207.98,204.95,207.29
2015-07-13 00:00:00+00:00,209.76,209.9,208.94,208.99
2015-07-14 00:00:00+00:00,210.72,211.05,209.65,209.72
2015-07-15 00:00:00+00:00,210.63,211.28,210.04,210.73
2015-07-16 00:00:00+00:00,212.27,212.3,211.58,211.87
2015-07-17 00:00:00+00:00,212.47,212.55,211.8,212.29
2015-07-20 00:00:00+00:00,212.62,213.18,212.21,212.75
2015-07-21 00:00:00+00:00,211.76,212.74,211.39,212.43
2015-07-22 00:00:00+00:00,211.29,211.77,210.89,210.93
2015-07-23 00:00:00+00:00,210.14,211.65,209.75,211.53
2015-07-24 00:00:00+00:00,207.94,210.37,207.6,210.3
2015-07-27 00:00:00+00:00,206.74,208.0,206.26,208.0
2015-07-28 00:00:00+00:00,209.31,209.5,206.8,207.79
2015-07-29 00:00:00+00:00,210.77,211.04,209.31,209.48
2015-07-30 00:00:00+00:00,210.82,211.02,209.42,210.16
2015-07-31 00:00:00+00:00,210.45,211.45,210.16,211.42
2015-08-03 00:00:00+00:00,209.73,210.53,208.65,210.46
2015-08-04 00:00:00+00:00,209.32,210.25,208.8,209.7
2015-08-05 00:00:00+00:00,210.1,211.31,209.73,210.45
2015-08-06 00:00:00+00:00,208.35,210.42,207.65,210.29
2015-08-07 00:00:00+00:00,207.92,208.34,206.87,208.16
2015-08-10 00:00:00+00:00,210.63,210.67,209.28,209.28
2015-08-11 00:00:00+00:00,208.66,209.47,207.76,208.97
2015-08-12 00:00:00+00:00,208.92,209.14,205.36,207.11
2015-08-13 00:00:00+00:00,208.7,209.55,208.01,208.73
2015-08-14 00:00:00+00:00,209.36,209.51,208.26,208.43
2015-08-17 00:00:00+00:00,210.56,210.59,208.16,208.71
2015-08-18 00:00:00+00:00,209.93,210.68,209.7,210.26
2015-08-19 00:00:00+00:00,208.28,210.01,207.35,209.09
2015-08-20 00:00:00+00:00,204.01,208.29,203.9,206.51
2015-08-21 00:00:00+00:00,197.63,203.94,197.52,201.73
